Siruta,Locality,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8
59498,COMUNA SINMARTIN,63808,1203373,820515,185000,109104,1215038,458607,49897,499215,0,468678,0,11869
59586,COMUNA SINPAUL,139743,1657344,1250108,292000,844113,1792350,1239274,216588,1258326,78724,960640,0,418767
59657,COMUNA SUATU,63619,1497128,975103,226000,93009,1213017,747903,209548,818662,23705,787021,0,49419
59826,COMUNA TAGA,460425,1296722,1039634,204000,391328,1308480,1233260,327545,1247565,0,757370,49051,817468
59693,COMUNA TRITENII DE JOS,306389,2633812,2945854,536000,19963,3289172,3990820,187562,2167129,70912,1960504,0,577736
59764,COMUNA TURENI,480566,1616847,1045103,265000,968065,1435809,1856600,196542,1298164,168304,1060248,3537,255064
59880,COMUNA UNGURAS,118752,1885652,1528751,309000,280646,1887309,1169685,175113,812972,33176,1236289,9255,175566
59942,COMUNA VAD,184471,1499635,1282692,253000,3282958,1604241,1038428,408714,1182031,0,1418958,32805,688565
60026,COMUNA VALEA IERII,151109,1072713,616624,148000,4269702,1089453,816923,68899,859386,17420,513386,0,141384
60062,COMUNA VIISOARA,378714,3003477,2917752,628000,219368,3097518,2209033,459803,1842831,3226,2518455,1764,829431
60099,COMUNA VULTURENI,96516,1275627,971754,198000,221634,1322708,1371225,162967,1071649,29548,683635,0,247868
60169,COMUNA NEGRENI,187983,1504657,1722874,255000,1877482,1962364,1825835,280293,1362800,44090,1219869,0,65153
60419,Constanta,256000000,3426331,193000000,28200000,9820344,224000000,193000000,33300000,44400000,22500000,174000000,5235119,29600000
60847,Medgidia,9852678,9481266,25900000,4146000,624770,31300000,18100000,3292136,13700000,3158861,22700000,1081682,3599454
60482,Mangalia,27200000,939548,23600000,11300000,860207,28200000,20100000,3263464,6482674,2013523,23000000,2438480,1804759
61069,baneasa,1083440,1650502,4767296,1186520,55354,6616862,2348844,108460,2110932,282683,3983519,52096,383447
60507,navodari,18600000,1168251,17500000,2425600,20100000,23800000,35300000,2392552,10800000,2314613,17100000,460422,6756449
60776,cernavod?,18500000,343581,11200000,174000,5070746,15700000,19100000,905120,5740944,2054572,11800000,2217530,6395207
60455,eforie,3856709,2194233,5358821,2944760,193166,8284700,12800000,724518,6854353,843795,5582568,75553,2223039
60801,hâr?ova,2552513,2383974,8468009,2045480,67257,10800000,6541084,832328,4298700,499814,6791781,211631,431309
62397,negruvoda,1132164,1787084,2772288,616000,471960,4144069,3066172,579250,2045477,0,2575144,0,436479
62360,murfatlat,2512303,2938336,5460102,2400880,4368891,8453102,5942932,1084600,3474935,1126152,4860020,111397,2313533
60687,ovidiu,5118910,2748756,6887110,1158000,196689,10300000,12000000,995531,4349932,699192,7224411,48957,5524736
60534,techirghiol,2000839,1954226,3376606,824000,462574,5445809,4135194,596422,2013101,278147,2994773,0,1459811
60883,adamclisi,413346,3016830,1604623,595640,163536,2093184,1828992,272456,1065814,97893,1316851,0,396429
60570,agigea,5662740,1377601,2566090,2287088,1918835,4239080,7283598,993656,4845131,456980,2238269,1592673,666224
60945,albe?ti,500321,1384571,1678050,586480,365778,2363263,1680337,249222,1496416,0,1631840,2500,232145
61005,aliman,257083,1219738,1638242,647940,57747,1853071,1171149,193749,994475,33981,1435932,2833,46817
63198,amzacea,485396,956242,1443342,1145740,422136,1863839,2159227,262540,1967167,0,1823036,0,210928
60598,23-Aug,595729,2854900,2553668,1718900,1822502,3144548,2235705,695586,1717648,204080,2917893,0,370991
63294,b?r?ganu,311149,1672231,907978,456000,4036,1289562,1394560,163355,1367804,157360,1100715,0,413552
61121,castelu,367795,1904713,3865170,1168060,18973,4229364,1925716,261255,1732939,91582,3460353,13999,751290
61167,cerchezu,205046,735574,811741,611300,139010,1089565,1250234,163503,814919,0,1125428,0,790586
61210,chirnogeni,455700,1248646,2045830,862840,6085252,2297098,1486180,452505,835212,0,1630544,0,683392
61256,ciobanu,131202,1455755,1733149,529000,34915,2188969,1721511,77493,2137036,0,1521328,0,0
61283,ciocârlia,374572,1435212,1579142,1395040,8057,2243625,1879043,452750,2301490,0,1597294,0,343047
61318,cobadin,1215681,3170804,5142405,1844000,1972044,6015679,3187128,421844,1588077,380685,6167652,0,286182
63286,costine?ti,1219766,782295,1139841,1243000,0,1647639,4880979,424711,1948705,39385,1065829,0,200890
61372,cogealac,1239803,2046712,3064778,1884710,1019048,4833385,3276262,257338,2952046,0,3339160,0,856994
61452,comana,211678,751761,1189826,676000,154512,1608962,1096200,38745,876888,157706,1487894,544,293961
61513,corbu,1263321,1678541,2785164,814000,2097,3448268,3925917,399498,2515587,0,2260072,0,184521
61559,crucea,476378,1844211,1905090,2023910,2141169,2865237,2993153,106892,3595726,38209,2284411,0,218654
61620,cump?na,1404255,4538752,6110308,4056652,4118641,7269620,7011409,1273258,5101722,488103,8376813,100117,1071846
63300,cuza voda,205055,1446023,2263195,859870,1087733,2969962,1625370,218600,1492701,128909,2889398,32090,100899
61675,deleni,331270,2138935,2269905,1327670,-153404,3039934,1772271,112625,1133736,142326,2216060,27072,238391
61737,dobromir,200181,1303649,3003386,655060,45395,3318848,2038766,194039,1315501,75995,2926898,29560,342163
63161,dumbr?veni,163478,293442,307691,116000,350,549957,661900,33512,580569,0,338616,0,23156
63334,fantanele,446761,350546,913279,116000,4491,1200427,3826540,179467,903451,4999,1026618,0,440160
61826,ghind?res?i,163357,1852989,1042491,728147,53855,1792899,1012438,56462,1307653,0,802359,0,164755
63326,gradina,110159,643067,604497,909043,389977,1068766,2318817,52908,1941889,0,678709,0,1226945
61808,gârliciu,62268,1084506,1178300,655050,289521,1470452,1461716,173306,1177686,0,900638,0,67393
63278,horia,125877,855165,590306,189000,481379,1016874,837869,120724,1189757,12543,688965,0,269136
61871,independen?a,476312,1097837,1934178,491750,17435,2412126,2016428,28476,1459489,2191,1893987,0,238814
61951,ion corvin,126070,764530,1297316,1182810,93926,1581864,1317838,206842,1203018,2684,1107381,0,163138
62020,istria,287574,967961,1311638,363000,183110,1643279,621151,148294,708755,16351,1168428,0,401280
60632,limanu,1655843,2393433,1840704,1858220,25745,2293367,5259605,447164,3147043,89551,2195209,1863,591649
62057,lipni?a,230554,1345621,1951647,603270,6923,2344482,2024783,149943,1121913,0,1993930,0,46988
63152,lumina,1834596,2875795,4041346,1700000,8208713,5141720,5097383,588130,2600363,800360,3813033,0,1539246
62137,mereni,359360,1437839,1142919,867440,3133,1342473,1949214,154846,652416,196184,957090,0,71423
62191,m. kog?lniceanu,4461784,1990929,4932366,944000,255127,4941504,9522384,1008187,2645687,496787,4780369,127110,1406993
62253,m viteazu,422460,1328127,2123942,851000,125441,2231110,3380572,655175,2723109,0,1886280,0,125770
62280,m vod?,222736,1981327,2812670,776000,885850,3161625,2165877,724296,1123245,179663,2157756,4000,356332
62440,n b?lcescu,1001392,1432075,3065606,664420,76908,3785344,7653328,188062,2256686,399573,2659029,300393,858506
62486,oltina,371796,946943,1421281,602920,38003,1937701,1569172,128456,954285,50529,1044417,1499,112791
62538,ostrov,849071,1714332,3702040,1197560,179994,4116299,2206093,323317,1014959,0,3462648,51851,123370
62609,pantelimon,198715,869275,1158935,1019730,15400000,1635122,1736659,56974,1492710,0,1257268,0,1235947
62672,pecineaga,395783,1180345,1452908,1028170,5043794,1913641,2506658,327677,1201029,235492,1826802,0,275685
62707,pe?tera,580395,1107048,1889136,607380,73960,2604354,3685975,881533,1981036,133993,1570939,0,461518
62761,poarta alb?,2017470,924810,4153599,510220,82601,4675400,2761248,633688,2031710,154501,4270001,98170,580327
62798,rasova,212827,1506938,2050093,538000,67990,2494976,1714294,117916,1004075,0,1929396,0,680176
62823,saraiu,152300,932681,920232,836530,46141,1297894,1957436,28610,1683483,0,842327,0,329007
63318,saligny,234853,962698,861113,866000,5312014,1293012,2492539,326952,3025233,184999,1013227,0,1014071
62878,s?cele,453873,874268,1271994,328000,80856,1702284,1385183,244660,1024693,0,1067577,0,140580
62949,sili?tea,92078,716214,855284,330920,35149,1202931,1911524,77367,1516232,69472,781469,5256,348076
62985,târgu?or,173013,692948,779546,299000,76745,1298669,1292200,67863,840199,163779,774868,0,83913
60721,tuzla,1313232,1836197,2391438,2294160,1016,2985588,3605577,982487,3802088,489640,2003688,0,292087
63045,topalu,325255,682808,1126179,250000,507888,1523212,632456,190595,974637,5042,861473,0,114113
63072,topraisar,1264453,1850189,3790737,869000,6333269,4090875,4304107,366912,2374188,0,3420005,228660,252024
63189,tortoman,268814,946758,1126687,260000,3528,1687692,1601654,36948,2004414,162730,940681,0,120324
63125,valu lui traian,1969996,4433900,5533385,2063340,18300000,5815741,6580453,1626446,2303952,670185,4738992,0,1264006
63170,vulturu,210292,292780,547236,247570,148588,798131,868758,18376,892121,2760,642213,7200,171056
62903,seimeni,100219,983882,884491,783930,5074,1379422,1076534,54763,1482001,0,843798,0,37614
63394,SF.GHEORGHE,40800000,782720,54900000,910000,7953334,59200000,31700000,3683526,8722640,2294910,54400000,1393953,29300000
63740,TG.SECUIESC,11700000,590310,23200000,609000,2531339,26800000,14000000,599144,5277607,462490,25800000,2925862,5502981
